time(seconds),activatory proteins(h),repressory proteins(i),Q proteins(q),Qc proteins(qc)
10800,423.7833754437378,423.7833754437378,2.538106532386937E-22,100.08319455743671
10830,414.13684534590755,414.13684534590755,1.8359514163817955E-22,100.08381541162412
10860,405.982325648863,405.982325648863,1.3268500226904374E-22,100.08404759457456
10890,399.35289355578436,399.35289355578436,9.580580007947524E-23,100.08542155772837
10920,394.0732539395017,394.0732539395017,6.911480425066272E-23,100.08602703889338
10950,390.15168600115476,390.15168600115476,4.98149475422397E-23,100.08629313154384
10980,387.5591452973716,387.5591452973716,3.587216489450048E-23,100.08675992434954
11010,386.06116719886734,386.06116719886734,2.5808621733189808E-23,100.08860666423165
11040,385.6076481953527,385.6076481953527,1.855159919985113E-23,100.08879551443229
11070,386.1132854667444,386.1132854667444,1.332315895127505E-23,100.08882953392802
11100,387.395600818617,387.395600818617,9.559658571725679E-24,100.08958799672247
11130,389.4192508442889,389.4192508442889,6.853096858031778E-24,100.09025530006326
11160,392.063279457646,392.063279457646,4.908408221422516E-24,100.09140930712918
11190,395.15028550688106,395.15028550688106,3.512398609098527E-24,100.09230050932572
11220,398.6865057948904,398.6865057948904,2.5111706981500753E-24,100.09252794961319
11250,402.57449919739145,402.57449919739145,1.7937337965380755E-24,100.09250782734232
11280,406.7639937294381,406.7639937294381,1.2801152291432179E-24,100.09338273340644
11310,411.1305850333777,411.1305850333777,9.127449848225294E-25,100.09500809298936
11340,415.57994825567675,415.57994825567675,6.502182642669447E-25,100.09454849943725
11370,420.22784878681927,420.22784878681927,4.627838468005832E-25,100.09607141283537
11400,424.98990568194586,424.98990568194586,3.290838257956747E-25,100.09649468617894
11430,429.75768631393106,429.75768631393106,2.337998360163149E-25,100.09692536725953
11460,434.71985517049467,434.71985517049467,1.6595532260167621E-25,100.09739639405899
11490,439.7883770236931,439.7883770236931,1.1769214789126786E-25,100.09905987188196
11520,444.8613417573604,444.8613417573604,8.33898343904158E-26,100.0996385525075
11550,450.14695144542947,450.14695144542947,5.903207562053423E-26,100.10081009429561
11580,455.51766569707354,455.51766569707354,4.175152241394195E-26,100.10153424503443
11610,460.95921679415864,460.95921679415864,2.950298094882248E-26,100.10178875152842
11640,466.6546872331192,466.6546872331192,2.082901833121057E-26,100.10251542797175
11670,472.44928126462605,472.44928126462605,1.4692003611093884E-26,100.10248582887604
11700,478.3584333308487,478.3584333308487,1.035386675681685E-26,100.10339738903295
11730,484.57377407066633,484.57377407066633,7.290099208653243E-27,100.10331272398545
11760,490.93106241963346,490.93106241963346,5.128302408245534E-27,100.10342123922756
11790,497.34826046330016,497.34826046330016,3.6043183036501646E-27,100.10390254004051
11820,504.0313108079626,504.0313108079626,2.5309407006048965E-27,100.10374408636315
11850,510.8611244770264,510.8611244770264,1.7756203954767438E-27,100.10415672053429
11880,517.8013744397239,517.8013744397239,1.2445937123134659E-27,100.10617922527857
11910,525.0404729121618,525.0404729121618,8.715943440022677E-28,100.10789574458451
11940,532.3915366558215,532.3915366558215,6.098324462172587E-28,100.10665818894314
11970,539.9399141770888,539.9399141770888,4.263006304126223E-28,100.1083481132575
12000,547.7949220456449,547.7949220456449,2.9773558645672405E-28,100.10910929080445
12030,555.7733713851928,555.7733713851928,2.077566059013549E-28,100.1087881206965
12060,564.0689317822118,564.0689317822118,1.4483991505007873E-28,100.11045383183352
12090,572.6831748407807,572.6831748407807,1.0088602384823827E-28,100.11015735238362
12120,581.4920137091975,581.4920137091975,7.020742991638909E-29,100.11186600304764
12150,590.7311986000155,590.7311986000155,4.8814008176256944E-29,100.11203043895559
12180,600.4766124975991,600.4766124975991,3.3909016172067156E-29,100.1125331168435
12210,610.5691531699731,610.5691531699731,2.3533972143133244E-29,100.11382962845562
12240,620.9464505545064,620.9464505545064,1.6318664233534462E-29,100.11462088350646
12270,631.8963765572857,631.8963765572857,1.1305331579308427E-29,100.11527254772486
12300,643.2845754589977,643.2845754589977,7.825125812785492E-30,100.1146478709449
12330,655.1746231060769,655.1746231060769,5.411388072878124E-30,100.11586407343415
12360,667.746602318361,667.746602318361,3.738826897533926E-30,100.11652831302253
12390,680.811881322915,680.811881322915,2.580901107972353E-30,100.11750892023522
12420,694.5950505976339,694.5950505976339,1.7799864544670046E-30,100.1183967599767
12450,709.1138390664428,709.1138390664428,1.2265107488889473E-30,100.11860293881126
12480,724.2820407094895,724.2820407094895,8.443749644486832E-31,100.11984181557051
12510,740.4172277186918,740.4172277186918,5.8077600635695725E-31,100.11966260063967
12540,757.3974855114035,757.3974855114035,3.9910880829682E-31,100.12035766497313
12570,775.3513952367776,775.3513952367776,2.7402064767540156E-31,100.12067825265216
12600,794.5775302550225,794.5775302550225,1.8796829131536175E-31,100.12090336080598
12630,815.3656463825208,815.3656463825208,1.2882353974192022E-31,100.12327147097218
12660,837.4225174496642,837.4225174496642,8.820946598469733E-32,100.12275560532959
12690,860.8140832509573,860.8140832509573,6.034544409102936E-32,100.1235040725828
12720,886.1417738738368,886.1417738738368,4.124612113635504E-32,100.12411116600937
12750,913.2679997519566,913.2679997519566,2.816638225449087E-32,100.12531526612521
12780,942.6812865009662,942.6812865009662,1.921712238500246E-32,100.12611766562775
12810,974.7305001274124,974.7305001274124,1.3099507695175837E-32,100.12661472834718
12840,1009.4591113191336,1009.4591113191336,8.921357117540963E-33,100.1268466736011
12870,1047.6308693040253,1047.6308693040253,6.070384582406971E-33,100.12800459810305
12900,1089.3574332573091,1089.3574332573091,4.126775278669511E-33,100.12834359651053
12930,1135.1558599658608,1135.1558599658608,2.8029462311971748E-33,100.1298184515942
12960,1185.8949752164765,1185.8949752164765,1.9020767897642935E-33,100.12990288143945
12990,1241.6846626478837,1241.6846626478837,1.289587035577953E-33,100.13006795111181
13020,1303.8761149312238,1303.8761149312238,8.735396132913045E-34,100.13064578491293
13050,1373.373255670694,1373.373255670694,5.911856496368517E-34,100.1304442995922
13080,1452.404088642639,1452.404088642639,3.99737136218779E-34,100.13275904987026
13110,1540.4680747490268,1540.4680747490268,2.7004394526934627E-34,100.13274479922389
13140,1638.4030463546458,1638.4030463546458,1.8226518734069397E-34,100.13287213315311
13170,1749.260339845178,1749.260339845178,1.2290862018029198E-34,100.1343020179213
